SOCIETE MINIERE DE MOKU - BEVEREND,,MOKU GOLDMINES,65.00%,MOKU GOLDMINES est contrôlée par le Groupe Fleurette dont le dernier bénéficiaire est un trust au bénéfice de la famille de Dan Gertler.
SODIFOR SPRL,SODIFOR,SKY PEARL LTD,99.90%,N/C
SODIFOR SPRL,,SPRING ROBIN LTD,0.10%,N/A
KIPUSHI CORPORATION,KICO,GECAMINES,32.00%,N/A
KIPUSHI CORPORATION,,IVANHOE,68.00%,N/C
ORAMA,ORAMA,Bayford Properties Limited,100.00%,Bayford Properties Limited est detenue à 100% par Rozaro Development Limited. Cette dernière est detenue par le Groupe Fleurette dont le dernier bénéficiaire est un trust au bénéfice de la famille de Dan Gertler.
RIO TINTO CONGO S.P.R.L,,RTMD Ltd,99.00%,RIO TINTO (côtée en bourse)
RIO TINTO CONGO S.P.R.L,,RIO TINTO NOMINEES Ltd,1.00%,RIO TINTO (côtée en bourse)
LONCOR RESOURCES CONGO SPRL,LONCOR,LONCOR Resources Inc,99.00%,Société cotée à la bourse de Toronto
LONCOR RESOURCES CONGO SPRL,LONCOR,Geoffrey Farr,1.00%,Geoffrey Farr à 1%
PHELPS DODGE CONGO,,Freeport-McMoRan Exploration Corporation,99.99%,Freeport Mc-Moran (société cotée à la bourse de New York (NYSE))
PHELPS DODGE CONGO,,Freeport Minerals Corporation,0.01%,N/A
SOCIETE MINIERE DEZIWA ECAILLE,SOMIDEC,,,N/C
LA GENERALE DES CARRIERES ET DES MINES,GECAMINE S,ETAT CONGOLAIS,100.00%,N/A
SOCIETE MINIERE DE KILO- MOTO,SOKIMO,ETAT CONGOLAIS,100.00%,N/A
SOCIETE DE DEVELOPPEMENT ET D'INVESTISSEMENT MINIER DU CONGO,SODIMICO,ETAT CONGOLAIS,100.00%,N/A
MINIERE DE BAKWANGA (*),MIBA,ETAT CONGOLAIS,80.00%,N/A
MINIERE DE BAKWANGA (*),MIBA,SIBEKA,20.00%,N/A
SOCIETE COMMERCIALE MINIERE DE KISENGE MANGANESE (*),SCMK-Mn,ETAT CONGOLAIS,100.00%,N/A
SOCIETE CONGOLAISE D'INVESTISSEMENT MINIER (*),SCIM,ETAT CONGOLAIS,80.00%,N/A
LA CONGOLAISE D’EXPLOITATION MINIERE (*),COMINIERE,ETAT CONGOLAIS,90.00%,N/A
LA CONGOLAISE D’EXPLOITATION MINIERE (*),COMINIERE,INSS,10.00%,N/A
SOCIETE AURIFERE DU KIVU ET DU MANIEMA (**),SAKIMA,ETAT CONGOLAIS,99.99%,N/A
SOCIETE AURIFERE DU KIVU ET DU MANIEMA (**),SAKIMA,GECAMINES,0.01%,N/A
KASONTO LUPOTO MINES,KALUMINE S,,,N/C
MWANA AFRICA CONGO GOLD,MIZACO,Mwana Exploration Congo Ltd,95.00%,MWANA AFRICA PLC (Côtée en bourse)
MWANA AFRICA CONGO GOLD,MIZACO,Mwana Africa Gold (Mauritius) Ltd,5.00%,MWANA AFRICA PLC (Côtée en bourse)
KISANFU MINING SPRL,KIMIN,GECAMINES,30.00%,N/A
KISANFU MINING SPRL,KIMIN,SOMIKA,70.00%,"CHAITANYA CHUG:
70% de la propriété des actions 62.5% des droits de vote"
COMPAGNIE DE MUSONOIE GLOBAL SPRL (*),COMMUS,GECAMINES,28.00%,N/A
COMPAGNIE DE MUSONOIE GLOBAL SPRL (*),COMMUS,"ZHE JIANG HUA YOU
COBALT Co,Ltd,en",72.00%,N/C
SOCIETE DE DEVELOPPEMENT INDUSTRIEL ET MINIER DE KATANGA (*),SODIMIKA,SODIMICO,30.00%,N/A
SOCIETE DE DEVELOPPEMENT INDUSTRIEL ET MINIER DE KATANGA (*),,SOMIKA,70.00%,CHAITANYA CHUG (70%)
SOCIETE DE BEERS DRC EXPLORATION SPRL (*),DE BEERS,CHEVIOT HOLDING LIMETED,95.00%,N/C
SOCIETE DE BEERS DRC EXPLORATION SPRL (*),DE BEERS,KAMILI YUSUFU Justin,5.00%,N/A
MINES D’OR DE KISENGE SPRL (CLUFF MINING) (*),MDDK,SCMK-Mn,20.00%,N/A
MINES D’OR DE KISENGE SPRL (CLUFF MINING) (*),MDDK,KISENGE LTD,80.00%,N/C
SOCIETE D'EXPLOITATION DE LA CASSITERITE AU KATANGA SPRL (*),SECAKAT,GECAMINES,30.00%,N/A
SOCIETE D'EXPLOITATION DE LA CASSITERITE AU KATANGA SPRL (*),,MINING MINERAL RESOURCES,70.00%,"Mr. CHUG CHAITANYA (28%) Mr. DRHOLIA RAHIM (28%)
Mr. CHAG HITESH BHURDHARBHAI (14%)"
CHABARA SPRL (*),CHABARA,Dino Steel International,70.00%,N/C
CHABARA SPRL (*),CHABARA,Gecamines,30.00%,N/A
MANONO MINERALS (**),MANOMIN,,,N/C
LA SINO CONGOLAISE DES MINES (**),SICOMINES,GECAMINES,20.00%,N/A
LA SINO CONGOLAISE DES MINES (**),SICOMINES,Simco,12.00%,N/A
LA SINO CONGOLAISE DES MINES (**),SICOMINES,CHINA RAILWAY GROUP (HONG KONG) LIMITED,20.00%,N/A
LA SINO CONGOLAISE DES MINES (**),SICOMINES,CHINA RAILWAY RESOURCES DEVELOPMENT LIMITED,13.00%,N/A
LA SINO CONGOLAISE DES MINES (**),SICOMINES,SINOHYDRO CORPORATION LIMITED,16.00%,N/A
LA SINO CONGOLAISE DES MINES (**),SICOMINES,SINOHYDRO HARBOUR CO.LTD,4.00%,N/A
LA SINO CONGOLAISE DES MINES (**),SICOMINES,"BEIJING ENJIJIA INVESTMENT MANAGEMENT CO., LTD",10.00%,N/A
LA SINO CONGOLAISE DES MINES (**),SICOMINES,"ZHEJIANG HUAYOU COBALT CO.,LTD",5.00%,N/A
SOMIMI (**),SOMIMI,CHEMAF,72.00%,SHIRAZ VIRJI (60% des droits de vote)
SOMIMI (**),SOMIMI,COMINIERE,28.00%,N/A
MINERAL INVEST INTERNATIONAL CONGO (**),WANGA MINING,MINERAL INVEST INTERNATIONAL,65.00%,N/C
MINERAL INVEST INTERNATIONAL CONGO (**),WANGA MINING,SOKIMO,35.00%,N/A
ALSESY TRADING SPRL (**),ALSESY,DZBO LOSTOVE Sylvie,,DZBO LOSTOVE Sylvie (55% de la propriété des actions et 100% des droits de vote)
BON GENI K. MINING (**),BK MINING,Ngoki Muluaka Godé,60.00%,Ngoki Muluaka Godé (60%)
BON GENI K. MINING (**),BK MINING,Takahashi Takanori,30.00%,Takahashi Takanori (30%)
BON GENI K. MINING (**),BK MINING,Vonda ndamo Patricia,10.00%,Vonda ndamo Patricia (10%)
COMPAGNIE MINERE DE TONDO (**),CMT,GECAMINES,30.00%,N/A
COMPAGNIE MINERE DE TONDO (**),CMT,LEREXCOM SPRL,70.00%,N/C
COMPAGNIE MINIERE DE KAMBOVE (**),COMIKA,WANBAO KINGCO LIMITED,70.00%,N/C
COMPAGNIE MINIERE DE KAMBOVE (**),COMIKA,GECAMINES,30.00%,N/A
GIRO GOLD (**),,SOKIMO,35.00%,N/A
GIRO GOLD (**),,AMANI CONSULTING,65.00%,Société detenue par CONG MAO HUAI (65%) et MAKABA MBUMBA AD ai (35%)
"SOCIETE D'EXPLORATION MINIERE DU HAUT KATANGA
(*)",SEMHKA,Mwana Exploration Congo Ltd,95%,MWANA AFRICA PLC (Côtée en bourse)
"SOCIETE D'EXPLORATION MINIERE DU HAUT KATANGA
(*)",SEMHKA,Mwana Africa Gold (Mauritius) Ltd,5%,MWANA AFRICA PLC (Côtée en bourse)
COTA MINING (*),COTA,,,N/C
MAGMA MINERALS (*),,HUANG ZHI MIN,,
MAGMA MINERALS (*),,Madame XU RUN TIAN,,
MAGMA MINERALS (*),,LI WENQI,,
KGL-SOMITURI (Socitété Minière de l'ITURI) (*),KGL- SOMITURI,KILO GOLDMINES INC,71.25%,Société côtée à la bourse du Canada (TSX Venture Exchange) et à la bourse de Francfort
KGL-SOMITURI (Socitété Minière de l'ITURI) (*),KGL- SOMITURI,DELTAGO INTERNATIONAL LTD.,14.14%,N/A
KGL-SOMITURI (Socitété Minière de l'ITURI) (*),KGL- SOMITURI,SUEZ HOLDING LTD,5.04%,N/A
KGL-SOMITURI (Socitété Minière de l'ITURI) (*),KGL- SOMITURI,ETAT CONGOLAIS,5.00%,N/A
KGL-SOMITURI (Socitété Minière de l'ITURI) (*),KGL- SOMITURI,JEAN-MARIE LOKANGA,3.32%,JEAN-MARIE LOKANGA à 3.32%
KGL-SOMITURI (Socitété Minière de l'ITURI) (*),KGL- SOMITURI,JOSEPH NTUMBA TSHIMBILA,0.60%,JOSEPH NTUMBA TSHIMBILA à 0.6%
